Reference,Prediction
ɑ˩ʁo˧|ɖɯ˧ɲi˥|so˧kʰɯ˧ʈʂʰɯ˧ʂe˧kʰɯ˧ʈʂʰɯ˧|ʈʂʰɯ˧ɖɯ˧mi˧hĩ˧|tʰi˧ʈɯ˧|ɖɯ˧ɲi˥|so˧tɕʰi˧|,ɑ˩ʁo˧ ɖɯ˧ɲi˥ so˧k[UNK]ɯ˧ʈʂ[UNK]ɯ˧ ʂe˧k[UNK]ɯ˧ʂ[UNK]ɯ˧ ʈʂ[UNK]ɯ˧ɖɯ˧mi˧ t[UNK]i˧ʈɯ˧˥ ɖɯ˧ɲi˥ so˧tɕ[UNK]i˧
əəə…ə˧mi˧|tɕi˩hĩ˩˥|wɤ˩˥|õ˧bv̩˥õ˩|ʑi˧dv̩˧ʝi˧ze˩|wɤ˩˥|õ˧bv̩˥õ˩|ə˧mi˧tɕi˩ki˩bi˩|,əə[UNK]ə˧mi˧ tɕi˩hi[UNK]˧ wɤ˩˥ o[UNK]˧bv[UNK]˥o[UNK]˩ ʑi˧dv[UNK]˧ʝi˧ze˩dʑo˩ o[UNK]˧bv[UNK]˥o[UNK]˩ə˧mi˧tɕi˩ki˩bi˩
õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|no˧bv̩˩ʐwɤ˩ki˩|njɤ˧bv̩˩ʐwɤ˩ki˩ʐwɤ˩ɖwæ˩mɤ˧zo˧|ɖwæ˩mɤ˧zo˧|ɖɯ˧v̩˧ɖɯ˧v̩˧ɳɯ˧|,o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥dzo˩ no˧bv[UNK]˧ ʐwɤ˩ki˩ njɤ˧bv[UNK]˩ ʐwɤ˩ki˩ ˧ʐɤ˥ ɖwæ˩mɤ˧zo˧ ɖwæ˩mɤ˧zo˧ ɖɯ˧v[UNK]˧ɖɯ˧v[UNK]˧ɳɯ˧
wo˩˥|dʑo˩|õ˧tʰv̩˧|ə˩kʰɯ˩ɲi˥ze˩mæ˩|õõõ|,wo˩˥ dʑo˩ hi[UNK]˧t[UNK]v[UNK]˧ ə˩k[UNK]ɯ˩ɲi˥ze˩mæ˩ i[UNK]˧
ʐwæ˧seʐɤ˩se˩zo˩ni˥|ɖɯ˧v̩˧si˧ʑi˧hõ˧˥|əəə…ɖɯ˧v̩˧dʑɯ˩qwæ˩hõ˩˥|ɖɯ˧v̩˧|mv̩˧kʰɯ˩hõ˩|pi˧zo˩|ə˧mi˧ɻæ˩ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ʈʂæ˧kv̩˧˥|mæ˩|,ʈʂwæ˧ɕə˧ʐɤ˧se˥zo˩non˥ ɖɯ˧v[UNK]˧ sɯ˧ʑi˩ho˩˥ əə[UNK]ɖɯ˧v[UNK]˧ dʑɯ˩qwæ˩hɑ[UNK]˩˥ ɖɯ˧v[UNK]˧mv[UNK]˧k[UNK]ɯ˩ho[UNK]˩ pi˧zo˩ ə˧mi˧ɻæ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʂwæ˧kv[UNK]˥ mæ˩
oʈʂʰɯ˧ɳɯ˧|qʰæ˩tsʰɯ˩˥|ɲi˩|pi˧|zo˩no˥|mje˩fe˥|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|,oʈʂ[UNK]ɯ˧ɳɯ˧ q[UNK]æ˧ts[UNK]ɯ˧˥ ɲi˩ pi˧ zo˩no˥ mi˩fv[UNK]˧ʈʂ[UNK]ɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥
ɖɯ˧kʰv̩˧˥|ɖɯ˧ʂɯ˩hĩ˩ʈʂʰɯ˩dʑo˩|ɕi˧ɭɯ˧|ɕi˧ɭɯ˧|qʰɑ˧dze˧|nv̩˩ɭɯ˥|nv̩˧hṽ̩˩|jɤ˩jo˥|qwæ˧tsɯ˧|,ɖɯ˧k[UNK]v[UNK]˥ ɖɯ˧ʂɯ˩hi[UNK]˩ ʈʂ[UNK]ɯ˩dʑo˩ ɕi˧ɭɯ˧ ɕi˧ɭɯ˧ q[UNK]ɑ˧dze˧ nv[UNK]˩ɭɯ˧˥ nv[UNK]˧hv[UNK]˩ jɤ˩jo˥ qwæ˧tsɯ˧
tɑ˧ho˧|ʈʂʰɯ˧ne˧ʝi˥|le˧qwæ˧˥|hĩ˧hĩ˧ʈʂʰɯ˧|ɖwæ˧˥|ho˧ho˥ɲi˩mæ˩|dʑɤ˩ɲi˥mæ˩|,tɑ˧pɤ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧qwæ˧˥ hi[UNK]˧ hi[UNK]˧ʈʂ[UNK]ɯ˧ ɖwæ˧˥ ho˧ho˥ɲi˩mæ˩ dʑɤ˩ɲi˥mæ˩
tʰi˩˥|hõ˧ɬi˧mi˧|gv̩˩ɬi˩mi˩˥|əəə…tsʰe˧ɬi˧mi˧|tʰi˩˥|gv̩˩ɬi˩mi˩˥|hõ˧ɬi˧mi˧|qʰɑ˧dze˧|wɤ˩˥|le˧ɖʐɤ˧le˥po˩tsʰɯ˩|ɑ˩ʁo˥|ʈʂʰɯ˧ne˧ʝi˥|ntʰi˧tɕɯ˥|,t[UNK]i˩˥ ho[UNK]˧ɬi˧mi˧ gv[UNK]˩ɬi˩mi˩˥ əə[UNK]ts[UNK]e˧ɬi˧mi˧ t[UNK]i˩˥ gv[UNK]˩ɬi˩mi˩˥ ho[UNK]˧ɬi˧mi˧ q[UNK]ɑ˧dze˧ wɤ˩˥ le˧ɖʐɤ˧le˥po˩ts[UNK]ɯ˩ ɑ˩ʁo˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]i˧tɕɯ˥
tʰi˩˥|ə˧dɑ˥ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧tsɯ˩|mv̩˩,t[UNK]i˩˥ ə˧dɑ˥ɳ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧tsɯ˩ mv[UNK]˩
tʰi˩˥|dʑɤ˩tsʰo˧kv̩˧ze˥mæ˩|,t[UNK]i˩˥ dʑɤ˩ts[UNK]o˧kv[UNK]˧ze˥mæ˩
zo˩no˧dʑo˥|tʰi˩˥|ə˧ʝi˧tsʰi˧ʝi˧|dʑɤ˩˥|ʑi˧mi˧|ə˧ʝi˧ʂɯ˥ʝi˩ɳɯ˩|le˧gv̩˧gv̩˥|mɤ˧tʰɑ˧˥|dʑɤ˩˥|gv̩˩hĩ˩˥|mɤ˧dʑo˩|,zo˩no˧dʑo˧ t[UNK]i˩˥ ə˧ʝi˧ts[UNK]i˧ʝi˧dʑo˩˥ ʑi˧mi˧ ə˧ʝi˧ʂɯ˥ʝi˩ɳɯ˩ le˧gv[UNK]˧gv[UNK]˥ lɑ˧t[UNK]ɑ˧˥ dʑɤ˩˥ gv[UNK]˩hi[UNK]˩˥ mɤ˧dʑo˩
mmm…le˧gv̩˧gv̩˥pi˩kv̩˩mæ˩|nɑ˩ʐwɤ˥dʑo˩|le˧gv̩˧gv̩˥dʑo˩|tʰi˩˥|,mm[UNK]le˧gv[UNK]˧gv[UNK]˥ pi˧kv[UNK]˩mæ˩ nɑ˩ʐwɤ˥dʑo˩ le˧gv[UNK]˧gv[UNK]˥dʑo˩ t[UNK]i˩˥
tʰi˩˥|ʐwæ˧|ɖɯ˧v̩˧ɖɯ˧v̩˧dʑo˧|kʰɤ˧gɤ˧mv̩˧ʈʂæ˧kv̩˧˥|mæ˩|ɖɯ˧v̩˧ɖɯ˧v̩˧|ɻ̍˩pɑ˧mv̩˧ʈʂæ˧kv̩˧˥|mæ˩|tʰv̩˧ɲi˥kv̩˩bv̩˩|mv̩˧ɻwæ˩kwɤ˩tɕɯ˩lɑ˩|ɖɯ˧tɑ˧˥|le˧jo˩kv̩˩ɲi˩|,t[UNK]i˩˥ ʐwæ˧ ɖɯ˧v[UNK]˧ɖɯ˧v[UNK]˧dʑo˧ k[UNK]ɤ˧gɤ˩mv[UNK]˩ʈʂæ˧˧kv[UNK]˥mæ˩ ɖɯ˧v[UNK]˧ɖɯ˧[UNK]˧ ɻæ˩pɤɑ˧mv[UNK]˧ʈʂæ˧kv[UNK]˥mæ˩ t[UNK]v[UNK]˧ɲi˥kv[UNK]˩bv[UNK]˩ mv[UNK]˩ɻwæ˩kwɤ˩tɕɯ˩lɑ˩ ɖɯ˧tɑ˥ le˩okv[UNK]˩ɲi˩
tʰi˩˥|v̩˩dʑɯ˧ʈʰɯ˧|ɖɯ˧kʰv̩˧˥|dʑo˩|so˧ɬi˧mi˧ɳɯ˧|hi˧|le˧gi˥|dʑo˩|ŋwɤ˩ɬi˩mi˩qʰv̩˥ɬi˩mi˩dʑo˩|hi˧|le˧gi˥|le˧gi˥|le˧gi˥zo˩|,t[UNK]i˩˥ v[UNK]˩dʑɯ˧ʈ[UNK]ɯ˧ ɖɯ˧k[UNK]v[UNK]˧˥ dʑo˩ so˧ɬi˧mi˧ ɳɯ˧ hi˧ le˧gi˥dʑo˩ ŋwɤ˩ɬi˩mi˩q[UNK]wv[UNK]˥ɬi˩mi˩dʑo˩ hi˧le˧gi˩ le˧gi˩ le˧gi˥zo˩
tʰi˩˥|ʐɤ˩mi˩qo˥|hĩ˧ɲi˥kv̩˩ʁo˩pv̩˩dʑo˩|,t[UNK]i˩˥ ʐɤ˩mi˩qo˥ hi[UNK]˧ɲi˩kv[UNK]˩qo˩pv[UNK]˩dʑo˩
tʰi˩˥|ʈʂʰɯ˧qo˧ɳɯ˧|le˧hɯ˩|əəə…ʂwæ˧gv̩˧ki˧tʰv̩˧dʑo˩|ʂwæ˧gv̩˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|ɲi˧mi˧tʰi˧qʰæ˧˥|kwɤ˩tɕɯ˩lɑ˩|ɬi˧di˩di˩mi˩qo˩dʑo˩|ɲi˧mi˧dʑo˥|kɤ˧mi˧kɤ˧mv̩˧ki˥ɳɯ˩|gɤ˩pɤ˧ɲi˩mæ˩|ə˩gi˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧qo˧ɳɯ˧ le˧hɯ˩ ə ʂwæ˧gv[UNK]˧ki˧t[UNK]v[UNK]˧dʑo˩ ʂwæ˧gv[UNK]˧ ʈʂ[UNK]ɯ˧dʑo˩ t[UNK]i˩˥ ɲi˧mi˧ t[UNK]i˧q[UNK]æ˧˥ kv[UNK]˩ sɯ˩lɑ˩ ɬi˧di˩di˩mi˩qo˩dʑo˩ ɲi˧mi˧dʑo˧ kɤ˧mi˧ kkɤ˧mv[UNK]˧ki˥ɳɯ˩ gɤ˩po˥ɲi˩mæ˩ ə˩gi˩
hĩ˧|ə˧ʝi˧ʂɯ˥ʝi˩|ʈʂʰɯ˧ne˧ʝi˥|le˧ʂɯ˧hĩ˧|qʰɑ˩ne˩ʝi˥bi˩|,hi[UNK]˧ ə˧ʝi˧ʂɯ˥ʝi˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ʂɯ˧hi[UNK]˧ q[UNK]ɑ˩ɲi˥bi˩
ɖɯ˧v̩˧ɖɯ˧kʰɤ˧ɖʐɤ˥|le˧po˧tsʰɯ˧˥|tʰi˩˥|ɑ˩ʁo˧tʰv̩˧dʑo˧|tʰi˩˥|əəə…ə˧dɑ˧tʰv̩˧v̩˧ki˧|əəə…kʰi˧|tʰi˧ʈæ˩dʑo˩pi˩tsɯ˩|mv̩˩|,ɖɯ˧v[UNK]˧ɖɯ˧k[UNK]ɤ˧ɖʐɤ˥ le˧po˧ts[UNK]ɯ˧˥ t[UNK]i˩˥ ɑ˩ʁo˧t[UNK]v[UNK]˧dʑo˧ t[UNK]i˩˥ ə[UNK]ə˧dɑ˧t[UNK]v[UNK]˧v[UNK]˧ki˧ əə[UNK]k[UNK]i˧ t[UNK]i˧ʈæ˩dʑo˩ pi˧tsɯ˩ mv[UNK]˩
hĩ˧ɳɯ˩|ɖɯ˧tɑ˧˥|le˧ɣɯ˩ʂɯ˩po˩hɯ˩|ʐwæ˧lɑ˩|ɖɯ˧tɑ˧˥|le˧di˧po˥hɯ˩|,hi[UNK]˧ ɖɯ˧tɑ˧˥ le˧ʂɯ˧p[UNK]o˧o˥ ʐwæ˧lɑ˩ ɖɯ˧tɑ˧˥ le˧di˩po˧hɯ˥
mmm…mo˩ɻ̍˥|ʈʂʰɯ˧dʑo˩|əəə…ʂwæ˧si˧bi˥di˩ɲi˩mæ˩|ʂwæ˧bæ˩si˩bi˩|zo˩no˥|si˧mo˩bi˩|,mm[UNK]mo˩ɻ[UNK]˥ʈʂ[UNK]ɯ˧dʑo˩ ə[UNK] ʂwæ˧sɯ˧bi˥di˩ɲi˩mæ˩ ʂwæ˧bæ˧sɯ˩bi˩ zo˩no˥ si˧mo˩bi˩
mv̩˩kʰv̩˧˥|tʰv̩˧tsʰɯ˧|hõ˧ɭɯ˥qo˩ɳɯ˩le˩tʰv̩˩kv̩˩|,mv[UNK]˩k[UNK]v[UNK]˧˥ tv[UNK]˧ts[UNK]ɯ˧ ho[UNK]˧ɭɯ˥qo˩ɳɯ˩ le˩t[UNK]v[UNK]˩kv[UNK]˩
wɤ˩˥|kɯ˧ʈʂʰwɤ˩pi˩|wɤ˩˥|hæ̃˧qʰv̩˥|wɤ˩˥|ɖɯ˧tɕʰi˩ki˩kv̩˩mæ˩|,wɤ˩˥ kɯ˧ʈʂ[UNK]wɤ˩pi˩ wɤ˩˥ hæ[UNK]˧q[UNK]v[UNK]˥ wɤ˩˥ ɖɯ˧tɕ[UNK]ɤ˩ki˩kv[UNK]˩mæ˩
kɯ˧ʈʂʰwɤ˩ʈʂʰɯ˩kʰwɤ˩dʑo˩|tʰi˩˥|əəə…mmm…ʈʂʰwɤ˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩|mmm…tv̩˧tsʰɯ˧hõ˧ɭɯ˥|tʰv̩˧ɻæ˧qo˥ɳɯ˩|le˧dzɯ˥dʑo˩|wɤ˩˥k|kɯ˧ʈʂʰwɤ˩ʈʂʰɯ˩tɕʰi˩dʑo˩|əəə…nəəə…tv̩˧tsʰɯ˧tsʰe˧ɲi˧ɭɯ˧qo˧ɳɯ˧|dzɯ˧kv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|,kɯ˧ʈʂ[UNK]wɤ˩ʈʂ[UNK]ɯ˩k[UNK]v[UNK]˩dʑo˩ t[UNK]i˩˥ ə[UNK]m[UNK]ʈʂ[UNK]wɤ˧dʑo˧ ə˧ʝi˧ʂɯ˥ʝi˩ m[UNK]tv[UNK]˧ts[UNK]o˧ho[UNK]˧ɭɯ˥ t[UNK]v[UNK]˧ɻæ˧qo˩ɳɯ˩ le˧dzɯ˥dʑo˩ wɤ˩˥ k[UNK]ɯ˧ʈʂ[UNK]wɤ˩ʈʂ[UNK]ɯ˩tɕ[UNK]ɯ˩dʑo˩ əə[UNK]tv[UNK]˧ts[UNK]i˧ ts[UNK]e˧ɲi˧ɭɯ˧qo˧ɳɯ˧dzɯ˩kv[UNK]˩ ə˧ʝi˧ʂɯ˥ʝi˩
ə˧zɯ˩|gɯ˧ɳɯ˧|qʰæ˧dʑo˧|mɤ˧do˩|,ə˧zɯ˩ gɤ˧ɳɯ˧ q[UNK]æ˧dʑo˧ mɤ˧do˩
əzo˩qo˧ɲi˩|mɤ˧sɯ˥|tʰi˩˥|hæ˧di˩hɯ˩ɲi˩|pi˧|,hi[UNK] zo˩qo˧njiɤ˩ɻ[UNK]˩ mɤ˧sɯ˥ ʈt[UNK]i˩i˥ hæ˧di˩hɯ˩ɲi˩ pi˧
ɕi˧ɕi˩lo˩|pi˧kv̩˩tsɯ˩|mv̩˩|ʈʂʰɯ˧kʰwɤ˥dʑo˩|,ɕi˧ɕi˩lo˩ pi˧kv[UNK]˩tsɯ˩ mv[UNK]˩ ʈʂ[UNK]ɯ˧k[UNK]wɤ˩dʑo˩
li˩˥|le˧tɕɤ˧˥|mmmə˧mi˧ɻæ˩|tʰv̩˧ɲi˧dʑo˩|əəə…tʰv̩˧|ɑ˩ʁo˧|ɖɯ˧njɤ˧|tʰi˧dzi˩|,li˩˥ le˧tɕɤ˧˥ m[UNK]ə˧mi˧ɻæ˩ t[UNK]v[UNK]˧ɲi˩dʑo˩ əə[UNK]t[UNK]v˧ɻæ[UNK]˩ʁo˩ ɖɯ˧njɤ˥ t[UNK]i˧dzi˩
ŋv̩˩˥|ŋv̩˩dʑo˥|tʰi˩˥|əəə…zo˩no˥|əəə…pʰæ˧tɕi˥tʰv̩˩v̩˩|ʁo˧pv̩˩ə˧v̩˧tʰv̩˧v̩˧ɳɯ˩|,ŋv[UNK]˩˥ ŋv[UNK]˩dʑo˥ t[UNK]i˩˥ə[UNK]zo˩no˥ pvp[UNK]æ˧tɕi˥ t[UNK]v[UNK]˩vɤ˩ʁo˥pv[UNK]˩hi[UNK]˩ ə˧v[UNK]˧t[UNK]v[UNK]˧v[UNK]˧ɳɯ˩
əəə…tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥dʑo˩|ʐwæ˧ʐwæ˧|ɖɯ˧v̩˧|ʐwæ˧|tsʰe˩qʰɑ˩kv̩˩ɲi˥|po˧bi˥|,əə[UNK]t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥dʑo˩ ʐwæ˧ʐwæ˧ɖɯ˧v[UNK]˧ ʐwæ˧ ts[UNK]e˩q[UNK]ɑ˩kv[UNK]˩ɲi˥ po˧bi˥
tʰi˩˥|hæ˧ʐwɤ˩dʑo˩|hwɑ˩lɑ˩sæ˧|hwɑ˩lɑ˩sæ˧|pi˧|,dʑo˩ hæ˧ʐwɤ˩dʑo˩ hw˩lɑ˩sɑ˥hwɤ˩ lɑ˩sɯ˥ pi˧
ə˧mi˧|qʰæ˧|pi˧zo˩|ɲi˧to˧|ɖɯ˧tɑ˧˥|tʰi˧qo˧qo˥kv̩˩|,ə˧mi˧ q[UNK]v[UNK]˧ pi˧zo˩ ɲi˧to˧dɑ˧˥ t[UNK]i˧qo˧qo˥kv[UNK]˩hi[UNK]˩
əəə…se˧pʰɤ˧se˧bɤ˧ʝi˧mɤ˧zo˧ze˩|pi˧tsɯ˩|mv̩˩|,əə[UNK] se˧p[UNK]ɤ˧ se˧pɤ˧ʝi˧mɤ˧zo˧ze˩ pi˧tsɯ˩ mv[UNK]˩
tʰi˩˥|hĩ˧ɻæ˥|njæ˧sɯ˩kv̩˩|le˧pi˥|,t[UNK]i˩˥ hi[UNK]˧ɻæ˥ njæ˧sɯ˩kv[UNK]˩ le˧tɕɯ˧
mɤ˧ɲi˧kwɤ˧tɕɯ˥lɑ˩|le˧mi˧tʰi˧kwɤ˥|,mɤ˧ɲi˧kwɤ˧tɕɯ˥lɑ˩ li˧mi˧t[UNK]i˧kwɤ˥
ɑ˩ʁo˧|zo˩no˥|ko˧ə˧ʝi˧ʂɯ˥ʝi˩ni˩|ko˧sɯ˧|mɤ˧di˩|ə˩gi˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|,ɑ˩ʁo˧ zo˩no˥ kwɤ˧ə˧ʝi˧ʂɯ˥ʝi˩ni˩ kwɤ˧sɯ˧ mɤ˧di˩ ə˩gi˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩
tʰi˩˥|le˧qʰwɤ˧|le˧qʰwɤ˧dʑo˩|tʰi˩˥|wɤ˩˥|ɖɯ˧ʑi˩ɻ̍˩|go˩tsɯ˥|mv̩˩|ɖɯ˧ʁwɤ˧qo˧|,t[UNK]i˩˥ le˧q[UNK]wɤ˧ le˧q[UNK]wɤ˧dʑo˧ t[UNK]i˩˥ wɤ˩˥ ɖɯ˧ʑi˩ɻ[UNK]˩ go˩tsɯ˩˥ mv[UNK]˩ ɖɯ˧ʁwɤ˧qo˩
ɬi˧di˩ɳɯ˩|wɤ˩˥|bi˧|əəə…wɤ˩˥|wɤ˩˥|ʈʂʰɯ˧|ɖɯ˧ɬi˧ɖʐɯ˧ho˧ze˩|ɲi˧tsi˧hɑ̃˧ɖʐɯ˧ho˥ze˩|pi˧|,ɬi˧di˩ɳɯ˩ wɤ˩˥ bi˧ əə[UNK]wɤ˩˥ wɤ˩˥ ʈʂ[UNK]ɯ˧ ɖɯ˧ɬi˩dʑɯ˩ho˩ze˩ ɲi˧tsi˧hɑ[UNK]˧dʑɯ˧ho˥ze˩ pi˧
dzɯ˧gɤ˥|dzɯ˧mɤ˧gɤ˩mmm…|kʰv̩˩mi˩˥|no˧dzɯ˧hõ˧|pi˧zo˩|ʂe˧ʈʂʰɯ˧ʈv̩˥|le˧ʑi˩zo˩|kʰv̩˩mi˩ki˥kwɤ˩tsɯ˩|mv̩˩|,dzɯ˧gɤ˧ dzɯmɤ˩gɤ˩ ə[UNK]k[UNK]v[UNK]˩mi˩˥ no˧dzɯ˩ho[UNK]˩˥ pi˧zo˩ ʂe˧ ʈʂ[UNK]ɯ˧ʈv[UNK]˥le˩ʑi˩zo˩ k[UNK]v[UNK]˩mi˩ki˥kwɤ˩tsɯ˩ mv[UNK]˩
pʰv̩˧ɖɯ˧ʝi˥|hɑ˧dzɯ˧dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|tʰi˩˥|,p[UNK]v[UNK]˧ɖɯ˧ʝi˥ hɑ˧dzɯ˧dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ t[UNK]i˩˥
tʰi˩˥|tso˩qʰv̩˩ɻ̍˥ɳɯ˩|gæ˩pʰæ˧bi˧|kʰi˧|ɖɯ˧pɤ˩tʰi˩di˩|tso˩qʰv̩˩ɻ̍˥ɳɯ˩|,t[UNK]i˩˥ tso˧q[UNK]v[UNK]˧ɻ[UNK]˥mv[UNK] gæ˩p[UNK]æ˧ bi˧ k[UNK]i˧ ɖɯ˧pɤ˧ t[UNK]i˧di˩ tso˧q[UNK]wɤ˧ɻ[UNK]˥ɳɯ˩
õ˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|ɲi˧ʈʂæ˧ʑi˧dɑ˥kv̩˩ze˩mæ˩|,o[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ t[UNK]i˩˥ ɲi˧ʈʂæ˧ʑi˧dɑ˥kv[UNK]˩ze˩mæ˩
mɤ˧dɑ˩|zo˧tɕʰi˧bi˧pi˧hɯ˧dʑo˩|hwɤ˧tɕi˥ʁo˥bv̩˩tʰv̩˩|zo˧tɕʰi˧le˥wo˩tsʰɯ˩pi˩kv̩˩|,mɤ˧dɑ˩ zo˧tɕ[UNK]i˧bi˧pi˧hɯ˩dʑo˩ hwɤ˧tɕi˥ʁo˩bv[UNK]˩t[UNK]v[UNK]˩ zo˧tɕ[UNK]i˧le˥wo˩ts[UNK]ɯ˩ pi˧kv[UNK]˩
mv̩˩lo˥ʝi˩pi˩|ɖɯ˧v̩˧ɖɯ˧ʑi˩tʰi˩dzi˩dʑo˩|tʰi˩˥|qv̩˧ɻ̍˧ʁo˧|mv̩˩lo˥ʝi˩tʰi˩dzi˩ɲi˩pi˩kv̩˩mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩|,mv[UNK]˩lo˥ʝi˩pi˩hi[UNK]˩ɖɯ˧v[UNK]˧ ɖɯ˧ʑi˩ t[UNK]i˧dzi˩dʑo˩ t[UNK]i˩˥ qv[UNK]˧ɻ[UNK]˧ʁo˧ mv[UNK]˩lo˥ʝio˩ t[UNK]i˧dzi˩ɲi˩pi˩kv[UNK]˩mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩
ʁwɤ˧qo˧hĩ˧|le˧ʁɑ˥ʂe˩|le˧po˧tsʰɯ˧˥|hĩ˧hĩ˧ʂɯ˧dʑo˩|ɖɯ˧v̩˧ɳɯ˧|ɖɯ˧pʰæ˧˥|ɖɯ˧v̩˧ɳɯ˧|ɖɯ˧pʰæ˧˥|ɖɯ˧v̩˧ɳɯ˧|ɖɯ˧pʰæ˧˥|ʈʂʰɯ˧ne˧ʝi˥|le˧qʰæ˧˥|,ʁwɤ˧qo˧ hi[UNK]˧ le˧ʁɑ˥ʂe˩ le˧po˧tsɯ˧˥ hi[UNK]˧ hi[UNK]˧ʂɯ˧dʑo˩ ɖɯ˧ʁv[UNK]˧ɳɯ˧ ɖɯ˧p[UNK]æ˧˥ ɖɯ˧v[UNK]˧ɳɯ˧ ɖɯ˧p[UNK]æ˧˥ ɖɯ˧v[UNK]˧ɳ˧ ɖɯ˧p[UNK]æ˧˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧q[UNK]æ˧˥
ɖɯ˩lo˧|mɤ˧sɯ˥ze˩|pi˧kwɤ˩tɕɯ˩lɑ˩|ə˧mv̩˧ɳɯ˥|ʐæ˩sɯ˩˥|tʰi˧mv̩˧tɕɯ˧zo˥|pʰo˩hɯ˩ɲi˥ze˩wɤ˩|,ɖɯ˩lo˧ mɤ˧sɯ˥ze˩ pi˧kwɤ˩tɕɯ˩lɑ˩ ə˧mv[UNK]˧ɳɯ˧ ʐæ˩sɯ˩˥ t[UNK]i˧mv[UNK]˧tɕɯ˧zo˥ p[UNK]o˩hɯ˩ɲi˥ze˩wɤ˩
mɤ˧bi˧ze˧|ə˧zɯ˩|hĩ˧tɕʰi˧tʰɑ˧mɤ˧ʝi˧ze˩|,mɤ˧bi˧ze˧ ə˧zɯ˩ hi[UNK]˧tɕ[UNK]i˧ t[UNK]ɑ˧mɤ˧ʝi˩ze˩
tʰv̩˧ne˧ʝi˥|tʰi˩˥|ŋv̩˧|tʰi˧ki˧se˩|tʰi˩˥|ɬo˧pv̩˥|le˧ti˩|,tʂ[UNK]v[UNK]˧ne˧ʝi˥ t[UNK]i˩˥ ŋv[UNK]˧ t[UNK]i˧ki˧se˩ t[UNK]i˩˥ ɬo˧pv[UNK]˥ le˧ti˩
tʰi˩˥|tʰv̩˧v̩˧ɳɯ˩|əəə…lo˩dʑo˥ki˩kv̩˩ze˩|lo˩dʑo˥|əəə…lo˩dʑo˥|ɖɯ˧dze˩|,t[UNK]i˩˥ t[UNK]v[UNK]˧v[UNK]˧ɳɯ˩ əə[UNK]lo˩dʑo˥ki˩kv[UNK]˩ze˩ lo˩dʑo˧ oə[UNK]lo˩dʑo˥ ɖɯ˧dzi˩
ɖɯ˧ɬi˧mi˧|ɲi˧ɬi˧mi˧|so˧ɬi˧mi˧|le˧tv̩˧dʑo˥|so˧ɬi˧mi˧qo˧|ʐwæ˩ʐwæ˧tso˧ɲi˥mæ˩|wɤ˩˥|le˧tv̩˧se˩|le˧ʐwæ˧˥|,ɖɯ˧ɬi˧mi˧ ɲi˧ɬi˧mi˧ so˧ɬi˧mi˧ le˧tv[UNK]˧dʑo˥ so˧ɬi˧mi˧ qwɤ˧ ʐwæ˩˥ʐwæ˧tso˧ɲi˥zem˩ wɤ˩˥ le˧tv[UNK]˧se˩ le˧ʐwæ˧˥
ə˧ʝi˧ʂɯ˥ʝi˩|ə˧mi˧ɻæ˩|ʈʰæ˧qʰwɤ˧ɖɯ˧ɭɯ˧˥|pæ˧kʰwɤ˧|so˧ɭɯ˧|,ə˧ʝi˧ʂɯ˥ʝi˩ ə˧mi˧ɻæ˩ ʈ[UNK]æ˧q[UNK]wɤ˧ ɖɯ˧ɭɯ˧ pæ˧k[UNK]wɤ˧ so˧ɭɯ˧
